tableName,tableId,permission,feature
Reporting Section,reportingSection,,
Resource Group,resourceGroup,LIST_RESOURCEGROUP,Project Management
Restlet,restlet,ADMI_CUSTOMSCRIPT,
Restlet Deployment,restletDeployment,ADMI_CUSTOMSCRIPT,
Revenue Element,RevenueElement,LIST_REVENUEELEMENT,Advanced Revenue Management (Essentials)
Revenue Plan Status,revenuePlanStatus,LIST_REVENUEPLAN,
Revenue Plan Type,revenuePlanType,LIST_REVENUEPLAN,
Role,role,ADMI_MANAGEROLES,
Sales (Invoiced),salesInvoiced,REPO_SALES,Accounting
Sales (Ordered),salesOrdered,REPO_BOOKINGS,Sales Order Reports
Saved Workbook,usrsavedsearch,REPO_ANALYTICS,
Scheduled Script,scheduledScript,ADMI_CUSTOMSCRIPT,
Scheduled Script Deployment,scheduledScriptDeployment,ADMI_CUSTOMSCRIPT,
Scheduled Script Instance,ScheduledScriptInstance,ADMI_CUSTOMSCRIPT,Server SuiteScript
Scheduling Method,schedulingMethod,,
Script,script,ADMI_CUSTOMSCRIPT,
Script Deployment,scriptDeployment,ADMI_CUSTOMSCRIPT,
Script Note Type,scriptNoteType,,
Script Portlet Type,scriptPortletType,,
Script Type,scriptType,,
Sent Email,sentEmail,LIST_SENTEMAIL,
Serial/Lot Number,inventoryNumber,LIST_ITEM,Numbered Inventory
Server Script Log,ScriptNote,ADMI_CUSTOMSCRIPT,Enable Client SuiteScript Execution
Shipper Package Type Code,ShipperPackageTypeCode,,
Shipping Item,ShipItem,LIST_SHIPITEM,
Shipping Partners Plugin,shippingPartnersPlugin,ADMI_CUSTOMSCRIPT,
Shopping Cart,shoppingCart,REPO_WEBSTORE,Advanced Web Reports
Site Category,SiteCategory,,
Site Entry Point Type,SiteEntryPointType,ADMI_STORESETUP,
Site Registration Type,siteRegistrationType,ADMI_STORESETUP,
Soft Descriptor,softDescriptor,,
Solution,solution,LIST_KNOWLEDGEBASE,Knowledge Base
Source,revenuePlanSource,LIST_REVENUEPLAN,
Source Record Type,revenueElementSourceType,LIST_REVENUEELEMENT,
Source Type,revRecDateSourceType,LIST_REVENUERECOGNITIONRULE,
